Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ATTINY841,ATtiny841-SSU,SOIC-14_3.9x8.7mm_P1.27mm,20.95,41.6,0.0,top
C1,100nF,C_0805_2012Metric,22.71,48.54,0.0,top
C2,1uF,C_0805_2012Metric,27.945,44.5,0.0,top
C4,22pF,C_0805_2012Metric,22.725,50.775,0.0,top
C5,22pF,C_0805_2012Metric,12.345,48.11,180.0,top
D1,AZ432ANTR-E1,SOT-23,27.46,52.41,90.0,top
D2,SMBJ5.0A,D_SMB,22.55,11.95,180.0,top
D3,Red,LED_0805_2012Metric,11.2,13.035,0.0,top
D4,Blue,LED_0805_2012Metric,2.775,49.45,0.0,top
EXTTEMP1,Ext Temp Sensor,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,26.6,28.0,0.0,top
F1,mSMD150,Fuse_1812_4532Metric,27.65,3.65,-90.0,top
J2,AVR-ISP-6,Pin_Header_Straight_2x03_Pitch2.54mm,4.0,42.35,0.0,top
POWER1,Battery,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,21.85,4.85,0.0,top
Q1,AO3400A,SOT-23,3.175,14.55,90.0,top
R1,10KOHMS,R_0805_2012Metric,11.55,43.21,0.0,top
R2,1KOHMS,R_0805_2012Metric,27.42,49.46,0.0,top
R3,6.8K,R_0805_2012Metric,11.575,40.725,0.0,top
R4,2.7K,R_0805_2012Metric,11.575,38.325,0.0,top
R5,220 OHMS,R_0805_2012Metric,12.325,51.5,0.0,top
R14,510OHMS,R_0805_2012Metric,27.925,41.075,0.0,top
R15,10KOHMS,R_0805_2012Metric,3.2,11.45,0.0,top
R16,2.2KOHMS,R_0805_2012Metric,2.75,53.65,180.0,top
R17,2.2KOHMS,R_0805_2012Metric,7.55,13.08,0.0,top
R18,2.2KOHMS,R_0805_2012Metric,2.75,51.625,180.0,top
R19,CMFB103F3950FANT,R_0805_2012Metric,12.8,28.5,180.0,top
R20,10KOHMS,R_0805_2012Metric,27.925,38.675,0.0,top
R21,10KOHMS,R_0805_2012Metric,27.925,36.275,0.0,top
R23,CMFB103F3950FANT,R_0805_2012Metric,3.87,4.28,90.0,top
R30,3.3OHM 3/4W,R_Radial_Power_L13.0mm_W9.0mm_P5.00mm,10.16,22.225,180.0,top
REMOTE1,Ext Temp Sensor,PinHeader_1x02_P2.54mm_Vertical,7.75,4.3,0.0,top
RX1,RX Connector,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,9.7,57.4,180.0,top
TX1,TX Connector,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,20.3,57.4,180.0,top
U1,EL3H7(B)(TA)-G,SOP-4_4.4x2.6mm_P1.27mm,15.025,56.95,90.0,top
Y1,8MHZ Ceramic Resonator,Crystal_SMD_5032-2pin_5.0x3.2mm,17.42,49.595,0.0,top
